course_id,course_title,organization,rating,enrollment,difficulty_Advanced,difficulty_Beginner,difficulty_Intermediate,difficulty_Mixed,certificate_type_COURSE,certificate_type_PROFESSIONAL CERTIFICATE,certificate_type_SPECIALIZATION
0,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,0.8235294117647058,0.0011880569016726591,False,True,False,False,False,False,True
1,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,0.8235294117647058,0.004846021572612162,False,False,True,False,True,False,False
2,A Crash Course in Data Science,Johns Hopkins University,0.7058823529411764,0.04017508206972019,False,False,False,True,True,False,False
3,A Law Student's Toolkit,Yale University,0.8235294117647058,0.02798186649992184,False,False,False,True,True,False,False
4,A Life of Happiness and Fulfillment,Indian School of Business,0.8823529411764703,0.09957792715335313,False,False,False,True,True,False,False
5,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,0.8235294117647058,0.011724245740190715,False,True,False,False,True,False,False
6,AI For Everyone,deeplearning.ai,0.8823529411764703,0.10895732374550571,False,True,False,False,True,False,False
7,AI For Medical Treatment,deeplearning.ai,0.8823529411764703,0.0002813818977645772,False,False,True,False,True,False,False
8,AI Foundations for Everyone,IBM,0.8235294117647058,0.018602469907769266,False,True,False,False,False,False,True
9,AI for Medical Diagnosis,deeplearning.ai,0.8235294117647058,0.0032827888072534,False,False,True,False,True,False,False
10,AI for Medical Prognosis,deeplearning.ai,0.7647058823529409,0.000781616382679381,False,False,True,False,True,False,False
11,AI for Medicine,deeplearning.ai,0.8235294117647058,0.0035954353603251527,False,False,True,False,False,False,True
12,AWS Fundamentals,Amazon Web Services,0.7647058823529409,0.04017508206972019,False,True,False,False,False,False,True
13,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,0.588235294117647,0.002970142254181648,False,True,False,False,True,False,False
14,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,0.8235294117647058,0.007972487103329685,False,True,False,False,True,False,False
15,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,0.8235294117647058,0.03392215100828514,False,True,False,False,True,False,False
16,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,0.7058823529411764,0.0035954353603251527,False,False,True,False,True,False,False
17,Aboriginal Worldviews and Education,University of Toronto,0.8235294117647058,0.0015944974206659375,False,False,False,True,True,False,False
18,Academic English: Writing,"University of California, Irvine",0.8235294117647058,0.16836016882913868,False,True,False,False,False,False,True
19,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,0.8235294117647058,0.006409254337970924,False,False,True,False,False,False,True
20,Access Controls,(ISC)²,0.7647058823529409,0.0004377051743004534,False,True,False,False,True,False,False
21,Accounting Analytics,University of Pennsylvania,0.7058823529411764,0.024542754416132562,False,False,False,True,True,False,False
22,Accounting for Decision Making,University of Michigan,0.8823529411764703,0.00262623104580272,False,False,True,False,True,False,False
23,Achieving Personal and Professional Success,University of Pennsylvania,0.8235294117647058,0.03392215100828514,False,True,False,False,False,False,True
